id;name;publish_year;copies;picture;publisher_id;
1;as;lifestyle;515;incidentally;1
2;because abandoned;coaxingly;32603;why and;2
3;before athwart;rationale;4317;angelic partially;3
4;shocked;past;1652;gadzooks;4
5;soybean;fondly frankly;20207;repeatedly save;5
6;if eternity;suspiciously;12502;whoa impact;6
7;yummy uh-huh energetically;meanwhile eek hotfoot;18197;tackle;7
8;coaxingly;ham overconfidently;5652;ack;8
9;bungalow;from if smuggle;17160;pish;9
10;outflank;failing;15786;lack duh with;10
